Student Name,Student Email,Number of Selections,Section,Industry,Geography,Degree Program
Jamie Brown,jamie.brown@mba2025.harvard.edu,0,D,Manufacturing,Middle East,JD/MBA
Avery Martinez,avery.martinez@student.harvard.edu,0,I,Real Estate,Europe,JD/MBA
Alex Davis,alex.davis@student.harvard.edu,0,C,Energy,Europe,MD/MBA
Quinn Rodriguez,quinn.rodriguez@mba2025.harvard.edu,0,F,Consulting,Northeast US,MBA
Riley Rodriguez,riley.rodriguez@mba2025.harvard.edu,0,E,Real Estate,Middle East,MD/MBA
Jamie Smith,jamie.smith@mba2025.harvard.edu,0,F,Retail,Europe,MA/MBA
Jordan Miller,jordan.miller@hbs.edu,0,I,Healthcare,Midwest US,JD/MBA
Taylor Martinez,taylor.martinez@mba2025.harvard.edu,0,J,Technology,Midwest US,MS/MBA
Jordan Johnson,jordan.johnson@student.harvard.edu,0,E,Energy,Midwest US,JD/MBA
Jamie Garcia,jamie.garcia@student.harvard.edu,0,A,Non-Profit,South America,JD/MBA
Quinn Miller,quinn.miller@student.harvard.edu,0,E,Consulting,Middle East,MA/MBA
Avery Miller,avery.miller@hbs.edu,0,E,Healthcare,Africa,MD/MBA
Morgan Smith,morgan.smith@mba2025.harvard.edu,0,E,Technology,South America,MBA
Taylor Garcia,taylor.garcia@mba2025.harvard.edu,0,A,Real Estate,South America,MD/MBA
Morgan Smith,morgan.smith@mba2025.harvard.edu,0,I,Real Estate,Northeast US,MA/MBA
Avery Johnson,avery.johnson@mba2025.harvard.edu,0,J,Consulting,Africa,MBA
Alex Miller,alex.miller@mba2025.harvard.edu,0,B,Retail,Europe,JD/MBA
Drew Williams,drew.williams@student.harvard.edu,0,J,Technology,Asia,MBA
Morgan Williams,morgan.williams@student.harvard.edu,0,D,Non-Profit,West US,JD/MBA
Jordan Miller,jordan.miller@hbs.edu,0,E,Technology,South US,MS/MBA
Jamie Johnson,jamie.johnson@mba2025.harvard.edu,0,B,Retail,Middle East,MD/MBA
Casey Martinez,casey.martinez@hbs.edu,0,D,Technology,Midwest US,MD/MBA
Riley Smith,riley.smith@mba2025.harvard.edu,0,G,Consulting,Middle East,MBA
Avery Smith,avery.smith@student.harvard.edu,0,G,Consulting,Asia,MBA
Morgan Williams,morgan.williams@student.harvard.edu,0,G,Non-Profit,Asia,MBA
Jordan Rodriguez,jordan.rodriguez@hbs.edu,0,F,Consulting,South America,MA/MBA
Taylor Williams,taylor.williams@mba2025.harvard.edu,0,B,Consulting,Australia,MBA
Drew Brown,drew.brown@mba2025.harvard.edu,0,G,Healthcare,South US,MD/MBA
Taylor Davis,taylor.davis@mba2025.harvard.edu,0,E,Finance,West US,MS/MBA
Drew Rodriguez,drew.rodriguez@mba2025.harvard.edu,0,C,Real Estate,Northeast US,JD/MBA
Quinn Johnson,quinn.johnson@mba2025.harvard.edu,0,C,Real Estate,Africa,MBA
Jamie Rodriguez,jamie.rodriguez@mba2025.harvard.edu,0,J,Energy,South America,JD/MBA
Casey Garcia,casey.garcia@hbs.edu,0,I,Education,South US,MD/MBA
Avery Williams,avery.williams@mba2025.harvard.edu,0,A,Non-Profit,Northeast US,MBA
Riley Martinez,riley.martinez@student.harvard.edu,0,F,Technology,Midwest US,JD/MBA
Taylor Garcia,taylor.garcia@mba2025.harvard.edu,0,G,Real Estate,Africa,JD/MBA
Riley Jones,riley.jones@hbs.edu,0,H,Retail,Middle East,JD/MBA
Drew Davis,drew.davis@mba2025.harvard.edu,0,E,Education,South US,MD/MBA
Riley Johnson,riley.johnson@student.harvard.edu,0,I,Technology,Midwest US,MD/MBA
Taylor Brown,taylor.brown@mba2025.harvard.edu,0,H,Manufacturing,Africa,JD/MBA
Drew Miller,drew.miller@student.harvard.edu,0,J,Healthcare,South America,JD/MBA
Alex Garcia,alex.garcia@mba2025.harvard.edu,0,B,Technology,Midwest US,MA/MBA
Quinn Rodriguez,quinn.rodriguez@mba2025.harvard.edu,0,D,Consulting,South US,JD/MBA
Jordan Brown,jordan.brown@hbs.edu,0,B,Healthcare,Middle East,JD/MBA
Quinn Rodriguez,quinn.rodriguez@hbs.edu,0,H,Finance,Middle East,MA/MBA
Avery Martinez,avery.martinez@student.harvard.edu,0,J,Technology,Asia,MBA
Casey Rodriguez,casey.rodriguez@hbs.edu,0,J,Manufacturing,Middle East,MBA
Taylor Jones,taylor.jones@student.harvard.edu,0,F,Retail,South America,JD/MBA
Drew Williams,drew.williams@student.harvard.edu,0,E,Retail,Asia,JD/MBA
Avery Garcia,avery.garcia@student.harvard.edu,0,A,Manufacturing,West US,MD/MBA
Jamie Jones,jamie.jones@hbs.edu,0,D,Real Estate,West US,MS/MBA
Avery Davis,avery.davis@hbs.edu,0,H,Retail,Europe,MBA
Alex Smith,alex.smith@student.harvard.edu,0,G,Consulting,Middle East,JD/MBA
Riley Davis,riley.davis@mba2025.harvard.edu,0,A,Manufacturing,Africa,MA/MBA
Jordan Smith,jordan.smith@mba2025.harvard.edu,0,A,Real Estate,South US,MBA
Alex Garcia,alex.garcia@student.harvard.edu,0,E,Manufacturing,Midwest US,MS/MBA
Quinn Davis,quinn.davis@hbs.edu,0,E,Consulting,Africa,MD/MBA
